Neighborhood,City,Latitude,Longitude
Sainik Farm,Delhi,28.504444,77.1714527
Saket,Delhi,28.5235666,77.2001406
Sangam Vihar,Delhi,28.4985921,77.2227948
Sarita Vihar,Delhi,28.5333435,77.2855647
Sarojini Nagar,Delhi,28.5755191,77.1888182
Sarvodaya Enclave,Delhi,28.5367,77.1965771
Shahpur Jat,Delhi,28.5486182,77.2097234
Siri Fort,Delhi,28.5504436,77.2115603
South Extension,Delhi,28.5663456,77.2109994
Sri Niwaspuri,Delhi,28.565388,77.2483152
Ring Road Sundar Nagar,Delhi,28.6053678,77.251114
Tughlakabad,Delhi,28.5087889,77.2409188
Badarpur,Delhi,28.5073874,77.2782843
Dabri,Delhi,28.6091316,77.0811947
Dwarka Sub City,Delhi,28.5734429,76.977192
Delhi Cantonment,Delhi,28.5975514,77.0880347
Dhaula Kuan,Delhi,28.595134,77.1544317
Ghitorni,Delhi,28.4971569,77.1081822
Inderpuri,Delhi,28.6281786,77.1393871
Kirby Place,Delhi,28.616872,77.1099732
Kishangarh Village,Delhi,28.5191963,77.1687863
Mahipalpur,Delhi,28.5487574,77.1177519
Moti Bagh,Delhi,28.5811663,77.1549438
Munirka,Delhi,28.5532561,77.1655937
Najafgarh,Delhi,28.607305,76.9459012
Naraina,Delhi,28.6316165,77.1229492
Palam,Delhi,28.5905901,77.0669218
Rama Krishna Puram,Delhi,28.564647,77.1582554
Rajokri,Delhi,28.5118747,77.1004651
Rangpuri,Delhi,28.5311606,77.1000328
Sarojini Nagar,Delhi,28.5755191,77.1888182
Sagarpur ,Delhi,28.603201,77.0914711
Vasant Kunj,Delhi,28.5267989,77.1180082
Vasant Vihar,Delhi,28.561494,77.1425613
Ashok Nagar,Delhi,28.6379685,77.0931437
Bali Nagar,Delhi,28.655605,77.1235477
Dhaula Kuan,Delhi,28.595134,77.1544317
Fateh Nagar,Delhi,28.6303446,77.0854037
Janakpuri,Delhi,28.6211248,77.0555097
Kirti Nagar,Delhi,28.6454581,77.1237333
Meera Bagh,Delhi,28.6576051,77.0807557
Moti Nagar,Delhi,28.662431,77.1325451
Nehru Nagar,Delhi,28.6630913,77.1653886
Partap Nagar,Delhi,28.6703622,77.1920016
Paschim Vihar,Delhi,28.6677952,77.0643092
Patel Nagar,Delhi,28.6526974,77.1499239
Punjabi Bagh,Delhi,28.6671224,77.1213698
Rajouri Garden,Delhi,28.6442033,77.1118256
Shivaji Place,Delhi,28.6517273,77.1173711
Tihar Village,Delhi,28.6346418,77.1030291
Tilak Nagar,Delhi,28.6387661,77.0765948
Uttam Nagar,Delhi,28.6213239,77.0355638
Vikas Nagar,Delhi,28.641065,77.024337
Vikaspuri,Delhi,28.6406545,77.0568603
